,Shot rate,002.Opening  time [s],009. Plasticizing  time [s],008.Filling  time [s],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],012.Min.melt  cushion [in],014.Volume  for end HP  [in],111.Cooling  time [s],112.Holding  pressure  time [s],092.Peak  value  Holding  pressure  [psi],136.Injection  volume [in],056.current  time [s],machine_id,order,datetime,filepath,group_id
0,6335,13.4,44.12,4.14,2045.0,2042.0,1.11,1.16,48.73,9.45,1205.0,12.23,6.02,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
1,6336,13.44,39.45,4.14,2071.0,2070.0,1.15,1.22,53.46,9.45,1204.0,12.19,6.04,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
2,6337,13.36,44.17,4.14,2041.0,2039.0,1.11,1.14,49.46,9.45,1205.0,12.23,6.05,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
3,6338,13.41,40.21,4.14,2031.0,2028.0,1.13,1.19,52.88,9.45,1205.0,12.21,6.07,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
4,6339,13.43,43.61,4.14,2046.0,2044.0,1.16,1.23,52.65,9.45,1204.0,12.17,6.09,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
5,6340,13.41,43.38,4.14,2039.0,2036.0,1.11,1.15,50.78,9.45,1204.0,12.22,6.1,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
6,6341,13.65,41.51,4.14,2091.0,2089.0,1.12,1.16,49.59,9.45,1207.0,12.22,6.12,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
7,6342,13.44,40.19,4.14,2012.0,2012.0,1.14,1.21,52.07,9.45,1205.0,12.19,6.13,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
8,6343,13.37,42.79,4.14,2041.0,2041.0,1.16,1.22,52.58,9.45,1204.0,12.18,6.15,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
9,6344,13.54,43.35,4.14,2077.0,2075.0,1.15,1.22,52.28,9.45,1204.0,12.19,6.17,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
