,Shot rate,000.Total  cycle time  [s],009. Plasticizing  time [s],012.Min.melt  cushion [in],008.Filling  time [s],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],machine_id,order,datetime,filepath,group_id
0,1,0.0,0.0,0.0,0.0,0.0,0.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
1,2,0.0,0.0,0.0,0.0,0.0,0.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
2,5,91.72,22.86,1.3,11.32,1381.0,1378.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
3,6,91.63,23.35,1.29,11.34,1487.0,1484.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
4,7,85.53,19.51,1.29,11.34,1548.0,1545.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
5,8,83.46,19.64,1.29,11.34,1558.0,1553.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
6,9,81.6,19.97,1.29,11.34,1558.0,1555.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
7,10,81.12,20.31,1.3,11.33,1549.0,1546.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
8,11,162.6,20.4,1.29,11.34,1555.0,1555.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
9,12,102.44,20.8,1.3,11.35,1579.0,1577.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
10,13,80.21,18.63,1.3,11.33,1490.0,1487.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
11,14,80.95,19.54,1.3,11.32,1484.0,1481.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
12,15,80.26,20.29,1.3,11.33,1520.0,1519.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
13,16,78.72,19.67,1.3,11.32,1526.0,1523.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
14,17,78.89,18.16,1.3,11.33,1543.0,1540.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-06-22 14:35:01,./test_data2/imm3_100_3.xls,3
