,Shot rate,008.Filling  time [s],009. Plasticizing  time [s],000.Total  cycle time  [s],012.Min.melt  cushion [in],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],003. Clamping  force [kN],018. Change- over Melt  pressure  [bar],051.Shot  vol. before  injection [in],092.Peak  value  Holding  pressure  [psi],100.Melt  temperature  [F],111.Cooling  time [s],machine_id,order,datetime,filepath,group_id
0,8,5.54,21.02,96.57,0.85,2722.0,2672.0,11004.9,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
1,9,5.55,20.91,96.67,0.85,2718.0,2682.0,10994.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
2,10,5.58,20.93,96.57,0.85,2719.0,2708.0,10990.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
3,11,5.57,20.85,96.64,0.85,2722.0,2674.0,11000.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
4,12,5.57,21.06,96.63,0.85,2721.0,2683.0,10996.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
5,13,5.56,21.0,96.5,0.85,2724.0,2660.0,10981.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
6,14,5.56,21.13,96.68,0.85,2718.0,2689.0,10993.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
7,15,5.59,20.99,96.6,0.85,2721.0,2698.0,10984.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
8,16,5.58,21.1,96.62,0.85,2724.0,2679.0,11004.9,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
9,17,5.6,20.91,96.62,0.85,2718.0,2672.0,10988.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
10,18,5.56,21.11,96.55,0.85,2718.0,2680.0,11000.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
11,19,5.57,21.03,96.63,0.85,2717.0,2705.0,11002.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
12,20,5.59,20.74,96.61,0.86,2724.0,2664.0,10997.9,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
13,21,5.57,20.95,96.59,0.85,2719.0,2703.0,11016.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
14,22,5.57,21.02,96.63,0.85,2722.0,2663.0,11002.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
15,23,5.58,20.89,96.62,0.85,2715.0,2683.0,10998.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
16,24,5.57,20.92,96.52,0.86,2719.0,2670.0,11018.3,0.0,12.8,902.0,662.0,45.01,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
17,25,5.57,20.96,96.68,0.85,2719.0,2657.0,11008.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
18,26,5.55,20.95,96.59,0.85,2717.0,2670.0,10971.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
19,27,5.57,20.87,96.58,0.85,2718.0,2686.0,11009.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
20,28,5.55,20.94,96.67,0.85,2718.0,2677.0,11003.7,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
21,29,5.52,21.1,96.45,0.84,2717.0,2683.0,10990.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
22,30,5.48,21.32,96.47,0.83,2706.0,2702.0,11009.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
23,31,5.47,21.54,96.48,0.82,2682.0,2682.0,11017.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
24,32,5.46,21.58,96.6,0.82,2653.0,2654.0,11009.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
